rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
115,Mexican Brunch,Kane Brewing Company,Porter - Imperial,9.2,605,4.55,Porter,Imperial
116,Black Tuesday,The Bruery,Stout - American Imperial,19.5,4182,4.54,Stout,American Imperial
117,Scaled Way Up,Trillium Brewing Company,IPA - New England,8.0,544,4.55,IPA,New England
118,Alter Ego,Tree House Brewing Company,IPA - New England,6.8,2588,4.54,IPA,New England
119,Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit,7.0,2279,4.54,Lambic,Fruit
120,Nillerzzzzz,Forager Brewing Company,Stout - American Imperial,14.0,122,4.59,Stout,American Imperial
121,Society & Solitude #5,Hill Farmstead Brewery,IPA - New England,8.1,1629,4.54,IPA,New England
122,Adios Ghost,Monkish Brewing Co.,IPA - New England,10.2,45,4.68,IPA,New England
123,Last Buffalo In The Park,Funky Buddha Brewery,Porter - Imperial,11.5,906,4.54,Porter,Imperial
124,Notorious Triple IPA,Boneyard Beer Company,IPA - Imperial,12.0,890,4.54,IPA,Imperial
125,Black Gold,Central Waters Brewing Co.,Stout - American Imperial,11.0,861,4.54,Stout,American Imperial
126,Beyond Good And Evil,Hill Farmstead Brewery,Stout - American Imperial,10.0,769,4.54,Stout,American Imperial
127,Kaggen! Stormaktsporter,Närke Kulturbryggeri AB,Stout - Russian Imperial,10.0,222,4.56,Stout,Russian Imperial
128,King Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,IPA - New England,7.8,316,4.55,IPA,New England
129,Gggreennn!,Tree House Brewing Company,IPA - New England,7.5,542,4.54,IPA,New England
130,Chocolate Rain,The Bruery,Stout - American Imperial,19.6,2866,4.53,Stout,American Imperial
131,Fundamental Forces,Bottle Logic Brewing,Stout - American Imperial,16.2,278,4.55,Stout,American Imperial
132,Max Headroom,Trillium Brewing Company,IPA - New England,9.1,87,4.6,IPA,New England
133,Pseudo Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,Pale Ale - American,6.8,1349,4.53,Pale Ale,American
134,Double Shot,Tree House Brewing Company,Stout - American,7.6,1197,4.53,Stout,American
